id,status_invoice_name,Purchase Date,Payment Method,Invoice Paid,Nama Event ,id_event,Nama Ticket
5337,PAID,7/16/22 12:41,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5335,PAID,7/16/22 12:41,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5339,PAID,7/16/22 12:43,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5338,PAID,7/16/22 12:42,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5340,PAID,7/16/22 12:43,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Rezaldi Hehanussa
5341,PAID,7/16/22 12:44,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Braif Fatari
5342,PAID,7/16/22 12:44,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5343,PAID,7/16/22 12:44,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5344,PAID,7/16/22 12:46,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5345,PAID,7/16/22 12:46,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5346,PAID,7/16/22 12:47,Virtual Account BCA,60500,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hansamu Yama
5349,PAID,7/16/22 12:48,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5348,PAID,7/16/22 12:48,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5351,PAID,7/16/22 12:51,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5350,PAID,7/16/22 12:50,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5354,PAID,7/16/22 12:54,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5353,PAID,7/16/22 12:53,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5352,PAID,7/16/22 12:53,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Syahrian Abimanyu
5359,PAID,7/16/22 13:00,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5358,PAID,7/16/22 12:58,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hansamu Yama
5355,PAID,7/16/22 12:57,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5357,PAID,7/16/22 12:58,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5356,PAID,7/16/22 12:57,GO-PAY,56333,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5360,PAID,7/16/22 13:02,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5361,PAID,7/16/22 13:04,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5363,PAID,7/16/22 13:05,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5362,PAID,7/16/22 13:05,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5364,PAID,7/16/22 13:06,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5365,PAID,7/16/22 13:07,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5367,PAID,7/16/22 13:15,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5394,PAID,7/16/22 13:37,ATM Transfer,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5366,PAID,7/16/22 13:11,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5370,PAID,7/16/22 13:16,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5373,PAID,7/16/22 13:17,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5368,PAID,7/16/22 13:15,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5372,PAID,7/16/22 13:17,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5369,PAID,7/16/22 13:16,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5374,PAID,7/16/22 13:17,Credit / Debit Card,33583,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5375,PAID,7/16/22 13:18,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5371,PAID,7/16/22 13:17,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanif Sjahbandi
5378,PAID,7/16/22 13:19,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Riko Simanjuntak
5376,PAID,7/16/22 13:18,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hansamu Yama
5377,PAID,7/16/22 13:19,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5393,PAID,7/16/22 13:34,ATM Transfer,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5379,PAID,7/16/22 13:20,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5380,PAID,7/16/22 13:21,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5381,PAID,7/16/22 13:22,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Riko Simanjuntak
5382,PAID,7/16/22 13:22,GO-PAY,56333,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5383,PAID,7/16/22 13:23,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Syahrian Abimanyu
5384,PAID,7/16/22 13:24,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanif Sjahbandi
5385,PAID,7/16/22 13:25,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ryuji Utomo
5386,PAID,7/16/22 13:25,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Braif Fatari
5387,PAID,7/16/22 13:26,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Rezaldi Hehanussa
5388,PAID,7/16/22 13:27,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5391,PAID,7/16/22 13:30,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5389,PAID,7/16/22 13:28,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5390,PAID,7/16/22 13:30,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5392,PAID,7/16/22 13:31,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanif Sjahbandi
5395,PAID,7/16/22 13:39,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hansamu Yama
5396,PAID,7/16/22 13:41,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5397,PAID,7/16/22 13:43,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5398,PAID,7/16/22 13:44,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5399,PAID,7/16/22 13:45,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5402,PAID,7/16/22 13:49,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5400,PAID,7/16/22 13:48,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5401,PAID,7/16/22 13:49,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5403,PAID,7/16/22 13:51,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ryuji Utomo
5404,PAID,7/16/22 13:51,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5405,PAID,7/16/22 13:55,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5406,PAID,7/16/22 13:59,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5408,PAID,7/16/22 14:02,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5407,PAID,7/16/22 14:01,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5410,PAID,7/16/22 14:04,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5409,PAID,7/16/22 14:03,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5411,PAID,7/16/22 14:11,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5412,PAID,7/16/22 14:18,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5413,PAID,7/16/22 14:20,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5414,PAID,7/16/22 14:25,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Michael Krmencik
5415,PAID,7/16/22 14:27,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanif Sjahbandi
5416,PAID,7/16/22 14:29,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5417,PAID,7/16/22 14:35,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5421,PAID,7/16/22 14:40,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5418,PAID,7/16/22 14:36,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5419,PAID,7/16/22 14:39,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5420,PAID,7/16/22 14:39,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5422,PAID,7/16/22 14:41,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5423,PAID,7/16/22 14:42,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
5426,PAID,7/16/22 14:51,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5424,PAID,7/16/22 14:48,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5425,PAID,7/16/22 14:49,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Syahrian Abimanyu
5428,PAID,7/16/22 14:53,ATM Transfer,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5427,PAID,7/16/22 14:53,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Coach Thomas Doll
5430,PAID,7/16/22 14:56,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5431,PAID,7/16/22 14:56,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Hanno Behrens
5429,PAID,7/16/22 14:55,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Rezaldi Hehanussa
5435,PAID,7/16/22 15:08,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ryuji Utomo
5432,PAID,7/16/22 14:57,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Rezaldi Hehanussa
5434,PAID,7/16/22 15:04,Virtual Account BCA,32750,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Andritany Ardhiyasa
5433,PAID,7/16/22 15:03,GO-PAY,28167,Koleksi Digital Pemain: Persija Jakarta 2022/2023,79283,Ondrej Kudela
